"Miller's Crossing","OscarWinner/no"
"Battleship Potemkin","Genre/Art&Drama"
"Les Diaboliques","OscarWinner/no"
"Day the Earth Stood Still","Director/Robert Wise"
"A Clockwork Orange","Decade/70s"
"Blade Runner","Director/Ridley Scott"
"Edward Scissorhands","OscarWinner/no"
"The Killing","OscarWinner/no"
"Roman Holiday","Director/William Wyler"
"Get Carter","Country/UK"
"Metropolis","Genre/SciFi&Fantasy"
"The Searchers","OscarWinner/no"
"Hard Boiled","OscarWinner/no"
"ET","Director/Steven Spielberg"
"Last of the Mohicans","OscarWinner/yes"
"Death in Venice","Decade/70s"
"The Wages of Fear","Director/Henri-Georges Clouzot"
"Passion of Joan of Arc","Genre/Art&Drama"
"Tokyo Story","Director/Yasujiro Ozu"
"Deliverance","Decade/70s"
"Dazed and Confused","OscarWinner/no"
"Vampyr","Genre/Horror"
"Groundhog Day","OscarWinner/no"
"Aguirre Wrath of God","Decade/70s"
"Voyage to Italy","Director/Roberto Rossellini"
"Duck Soup","Genre/Comedy"
"Pulp Fiction","OscarWinner/yes"
"King Kong","Genre/SciFi&Fantasy"
"All That Heaven Allows","Director/Douglas Sirk"
"The Godfather Parts I and II","Decade/70s"
"Clerks","OscarWinner/no"
"An Affair to Remember","OscarWinner/no"
"French Connection","Country/USA"
"L'Atalante","Genre/Art&Drama"
"Paths of Glory","OscarWinner/no"
"Solaris","Decade/70s"
"Wild Strawberries","OscarWinner/no"
"The Ladykillers","Director/Alexander Mackendrick"
"Before Sunrise","OscarWinner/no"
"Scarface (1983)","Director/Brian De Palma"
"Bride of Frankenstein","Genre/Horror"
"Shadows","OscarWinner/no"
"La Ceremonie","OscarWinner/no"
"A Clockwork Orange","Country/USA"
"Badlands","Decade/70s"
"Touch of Evil","OscarWinner/no"
"This Is Spinal Tap","Director/Rob Reiner"
"Pather Panchali","Director/Satyajit Ray"
"Vertigo","OscarWinner/no"
"Dracula   (1958)","OscarWinner/no"
"Bringing Up Baby","Genre/Comedy"
"Death in Venice","Country/Italy"
"Heat","OscarWinner/no"
"Terminator","Director/James Cameron"
"Spirit of the Beehive","Decade/70s"
"Some Like it Hot","OscarWinner/yes"
"Les Diaboliques","Director/Henri-Georges Clouzot"
"Deliverance","Country/USA"
"Clueless","OscarWinner/no"
"North by Northwest","OscarWinner/no"
"The Conversation","Genre/Crime"
"The Adventures of Robin Hood","Genre/Action"
"Room With a View","Director/James Ivory"
"The Killing","Director/Stanley Kubrick"
"Dark Star","Genre/SciFi&Fantasy"
"Don't Look Now","Decade/70s"
"Ran","Director/Akira Kurosawa"
"Breaking the Waves","OscarWinner/no"
"Texas Chainsaw Massacre","Genre/Horror"
"Gone with the Wind","Genre/Romance"
"Starship Troopers","OscarWinner/no"
"Aguirre Wrath of God","Country/Germany"
"The Wicker Man","Decade/70s"
"Carrie","Genre/Horror"
"Rushmore","OscarWinner/no"
"Annie Hall","Genre/Comedy"
"Jour Se Leve","Genre/Crime"
"Back to the Future","Director/Robert Zemeckis"
"The Big Lebowski","OscarWinner/no"
"Brazil","Director/Terry Gilliam"
"The Exorcist","Decade/70s"
"Star Wars  (1977)","Genre/SciFi&Fantasy"
"There's Something About Mary","OscarWinner/no"
"Breathless","OscarWinner/no"
"Chinatown","Decade/70s"
"The Godfather Parts I and II","Country/USA"
"The Thin Red Line","OscarWinner/no"
"Solaris","Country/USA"
"Rules of the Game","Genre/Art&Drama"
"Close Encounters","Genre/SciFi&Fantasy"
"Ringu","OscarWinner/no"
"Hannah & Her Sisters","Director/Woody Allen"
"The Conversation","Decade/70s"
"The Apartment","OscarWinner/no"
"Election","OscarWinner/no"
"Badlands","Country/USA"
"The Wizard of Oz","Genre/SciFi&Fantasy"
"Deer Hunter","Genre/Action"
"The Matrix","OscarWinner/yes"
"Dark Star","Decade/70s"
"Days of Heaven","Genre/Art&Drama"
"The Searchers","Director/John Ford"
"Full Metal Jacket","Director/Stanley Kubrick"
"His Girl Friday","Genre/Comedy"
"La Dolce Vita","OscarWinner/yes"
"Audition","OscarWinner/no"
"Spirit of the Beehive","Country/Spain"
"Texas Chainsaw Massacre","Decade/70s"
"Halloween","Genre/Horror"
"An Affair to Remember","Director/Leo McCarey"
"Princess Bride","Director/Rob reiner"
"The Great Dictator","Genre/Comedy"
"Psycho","OscarWinner/no"
"Carrie","Decade/70s"
"Don't Look Now","Country/UK"
"Peeping Tom","OscarWinner/no"
"The Blair Witch Project","OscarWinner/no"
"Die Hard","Director/John McTeirnan"
"Citizen Kane","Genre/Art&Drama"
"Monty Python's Life of Brian","Genre/Comedy"
"Paths of Glory","Director/Stanley Kubrick"
"The Wicker Man","Country/UK"
"Annie Hall","Decade/70s"
"The Innocents","OscarWinner/no"
"Les Vampires (1915)","Country/France"
"Casablanca","Genre/Romance"
"Distant Voices Still Lives","Director/Terence davies"
"The Jerk","Genre/Comedy"
"Star Wars  (1977)","Decade/70s"
"The Exorcist","Country/USA"
"Wild Strawberries","Director/Ingmar Bergman"
"Jules et Jim","OscarWinner/no"
"Double Indemnity","Genre/Crime"
"Akira","Director/Katsuhiro Otomo"
"Chinatown","Country/USA"
"The Cabinet of Dr Caligari","Country/Germany"
"Apocalypse Now","Genre/Action"
"Close Encounters","Decade/70s"
"When Harry Met Sally","Director/Rob Reiner"
"Shadows","Director/John Cassavetes"
