"CL_0174802",2,0,9025,0,"CC","No","Standard",79,"Male","Married",8090.4,14,"Y","No"
"CL_0856464",0,0,388,0,"Auto","No","Safedriving_discount",29,"Male","Single",28504,25,"N","No"
"CL_0789960",3,0,1025,0,"CH","Yes","Standard",27,"Male","Single",67668.3,50,"N","No"
"CL_0534963",28,0,4077,0,"CC","No","Standard",37,"Male","Married",46812.7,35,"N","No"
"CL_0614972",3,0,3199,0,"Auto","Yes","Standard",67,"Female","Married",26369.2,25,"N","No"
"CL_0469950",3,0,3593,0,"CC","Yes","Standard",71,"Male","Married",80667.4,75,"N","No"
"CL_0353153",26,0,5962,0,"CC","No","Standard",75,"Male","Single",50290.7,50,"N","No"
"CL_0856734",21,0,3047,0,"CC","Yes","Standard",81,"Female","Married",20759.9,15,"N","No"
"CL_0789989",14,0,7893,0,"CC","Yes","Standard",55,"Male","Married",9665.54,14,"Y","No"
"CL_0287268",26,13779,8610,0,"CC","No","Standard",73,"Male","Single",78564.7,75,"N","No"
"CL_0176123",20,0,5762,3,"CC","Yes","Safedriving_discount",73,"Male","Single",23832,15,"N","No"
"CL_0724652",23,0,1998,0,"Auto","Yes","Safedriving_discount",33,"Male","Single",59573,50,"N","No"
"CL_0691852",21,13494,6660,0,"CH","Yes","Safedriving_discount",54,"Male","Married",69641.6,50,"N","No"
"CL_0857063",17,0,1152,0,"CC","No","Standard",53,"Female","Single",21242.8,15,"N","No"
"CL_0615989",25,0,3824,0,"CC","No","Standard",69,"Female","Married",64113.6,50,"Y","No"
"CL_0470201",26,0,11428,0,"CH","No","Standard",97,"Female","Married",40844.4,35,"N","No"
"CL_0176835",4,0,7345,0,"CH","Yes","Safedriving_discount",40,"Female","Married",66223.5,50,"N","No"
"CL_0431173",7,0,943,0,"CH","Yes","Standard",94,"Female","Single",22685.3,15,"Y","No"
"CL_0353327",17,0,932,1,"CH","No","Safedriving_discount",44,"Male","Single",17689.2,15,"N","No"
"CL_0535156",4,768,1187,0,"CC","No","Standard",58,"Male","Married",16350.3,15,"Y","No"
"CL_0857949",13,0,16764,0,"CC","No","Standard",30,"Male","Married",82743,75,"N","No"
"CL_0791016",2,0,1276,0,"CC","No","Safedriving_discount",48,"Female","Single",88044.4,75,"N","No"
"CL_0616250",6,0,14539,0,"CH","Yes","Safedriving_discount",61,"Female","Married",41063.6,35,"Y","No"
"CL_0724760",28,0,12475,0,"CH","Yes","Standard",70,"Female","Single",56421.8,50,"Y","No"
"CL_0115572",2,0,7166,0,"CC","No","Standard",75,"Male","Married",42846.2,35,"Y","No"
"CL_0177109",10,0,3307,1,"CC","Yes","Standard",45,"Female","Married",23695.6,15,"N","No"
"CL_0858667",0,0,2866,0,"CC","Yes","Standard",72,"Male","Married",78851.3,75,"N","No"
"CL_0353821",2,0,18952,0,"Auto","Yes","Standard",87,"Female","Single",32683.9,25,"Y","No"
"CL_0287442",29,15639,6736,0,"CH","Yes","Standard",52,"Female","Single",54622.3,50,"N","Yes"
"CL_0791099",29,15639,6736,0,"CH","Yes","Standard",52,"Female","Single",54622.3,50,"N","Yes"
"CL_0116265",0,0,411,1,"CH","Yes","Safedriving_discount",79,"Male","Single",38777.7,35,"N","No"
"CL_0470224",4,0,25719,0,"CC","No","Standard",45,"Male","Married",67085.4,50,"N","No"
"CL_0616327",0,0,240,0,"CH","No","Standard",39,"Male","Married",72401.8,50,"N","No"
"CL_0577271",3,0,8027,0,"CH","No","Standard",88,"Male","Married",96090.2,75,"N","No"
"CL_0858704",23,0,2026,0,"CC","No","Safedriving_discount",88,"Female","Married",13091.6,14,"N","No"
